[33m2024/01/20 16:42:26 468012	WARNING [thread_safe_buffer.hpp->push:154]	Pushing to a full ThreadSafeBuffer of type: World

[m[33m2024/01/20 16:42:26 468836	WARNING [thread_safe_buffer.hpp->push:154]	Pushing to a full ThreadSafeBuffer of type: World

[m/tmp/tbots/thunderscope-profile/2024-01-20 16-42-25

name           id     tid              ttot      scnt        
Thread         60     140197052278336  2.020591  120       
Thread         62     140197035492928  2.020439  120       
Thread         81     140196876031552  2.020318  237       
Thread         61     140197043885632  2.019970  198       
Thread         59     140197060671040  2.019944  214       
Thread         64     140197018707520  2.019926  120       
Thread         63     140197027100224  2.018853  197       
Thread         53     140197186496064  2.018311  205       
Thread         84     140196850853440  2.018068  120       
Thread         86     140196834068032  2.017988  120       
Thread         83     140196859246144  2.017507  211       
Thread         80     140196884424256  2.017506  192       
Thread         85     140196842460736  2.017476  197       
Thread         79     140196892816960  2.016805  315       
Thread         102    140196699784768  2.016285  201       
Thread         101    140196708177472  2.014477  308       
Thread         16     140200969737792  0.296448  15        
Thread         15     140200978130496  0.295970  20        
Thread         41     140198109234752  0.292455  15        
Thread         40     140198117627456  0.292002  25        
Thread         54     140197178103360  0.026002  4         
Thread         56     140197161317952  0.022807  2         
Thread         55     140197169710656  0.019801  2         
Thread         3      140201154311744  0.000153  1         
Thread         5      140201137526336  0.000110  1         
Thread         71     140196959958592  0.000056  1         
Thread         6      140201129133632  0.000050  1         
Thread         9      140201103955520  0.000046  1         
Thread         4      140201145919040  0.000043  1         
Thread         51     140197547185728  0.000039  1         
Thread         30     140199157798464  0.000035  1         
Thread         28     140199174583872  0.000033  1         
Thread         73     140196943173184  0.000033  1         
Thread         75     140196926387776  0.000031  1         
Thread         77     140196909602368  0.000030  1         
Thread         69     140196976744000  0.000028  1         
Thread         72     140196951565888  0.000027  1         
Thread         89     140196808889920  0.000027  1         
Thread         91     140196792104512  0.000026  1         
Thread         95     140196758533696  0.000026  1         
Thread         87     140196825675328  0.000026  1         
Thread         67     140196993529408  0.000025  1         
Thread         93     140196775319104  0.000024  1         
Thread         99     140196724962880  0.000024  1         
Thread         29     140199166191168  0.000024  1         
Thread         97     140196741748288  0.000024  1         
Thread         34     140198646105664  0.000024  1         
Thread         49     140197563971136  0.000023  1         
Thread         65     140197010314816  0.000023  1         
Thread         74     140196934780480  0.000022  1         
Thread         24     140199208154688  0.000021  1         
Thread         10     140201020094016  0.000021  1         
Thread         27     140199182976576  0.000020  1         
Thread         76     140196917995072  0.000019  1         
Thread         92     140196783711808  0.000019  1         
Thread         52     140197194888768  0.000019  1         
Thread         26     140199191369280  0.000018  1         
